Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.82
moral,0.79,0.76,0.43,0.09
verw,0.91,0.8,0.52,0.02
sparkont,1.0,1.0,0.99,0.81
beszeit,0.94,0.92,0.76,0.16
rate,0.91,0.91,0.71,0.29
famges,1.0,1.0,0.99,0.82
buerge,0.32,0.41,0.14,0.06
wohnzeit,0.92,0.9,0.73,0.23
verm,1.0,1.0,0.99,0.81
weitkred,0.57,0.61,0.31,0.06
wohn,1.0,1.0,0.99,0.81
bishkred,0.69,0.63,0.36,0.04
beruf,0.74,0.72,0.42,0.03
pers,0.62,0.7,0.45,0.24
telef,0.97,0.98,0.94,0.71
gastarb,0.98,0.99,0.97,0.78
kredit,0.88,0.91,0.79,0.49
