Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.73,0.15
moral,0.77,0.74,0.41,0.07
verw,0.9,0.79,0.47,0.01
sparkont,0.68,0.68,0.3,0.06
beszeit,0.95,0.93,0.78,0.18
rate,0.92,0.92,0.75,0.35
famges,0.75,0.73,0.43,0.07
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.93,0.78,0.31
verm,0.98,0.98,0.93,0.55
weitkred,0.48,0.52,0.24,0.03
wohn,0.73,0.77,0.48,0.2
bishkred,0.64,0.57,0.31,0.01
beruf,0.7,0.68,0.37,0.02
pers,0.5,0.6,0.33,0.17
telef,0.94,0.96,0.9,0.62
gastarb,0.19,0.29,0.1,0.05
kredit,0.83,0.87,0.71,0.42
