Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.95,0.83,0.32
moral,0.79,0.75,0.43,0.08
verw,0.89,0.78,0.46,0.02
sparkont,0.86,0.86,0.56,0.18
beszeit,0.95,0.93,0.79,0.18
rate,0.91,0.91,0.71,0.3
famges,0.84,0.84,0.58,0.18
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.93,0.93,0.77,0.31
verm,0.99,0.99,0.97,0.71
weitkred,0.46,0.49,0.22,0.03
wohn,0.83,0.85,0.62,0.26
bishkred,0.64,0.57,0.31,0.01
beruf,0.67,0.66,0.33,0.02
pers,0.45,0.56,0.29,0.15
telef,0.96,0.97,0.93,0.68
gastarb,0.54,0.63,0.37,0.19
kredit,0.84,0.88,0.73,0.43
