Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.78,0.74,0.41,0.06
verw,0.9,0.79,0.48,0.01
sparkont,1.0,0.99,0.98,0.69
beszeit,0.95,0.92,0.78,0.16
rate,0.92,0.92,0.74,0.3
famges,0.99,0.99,0.97,0.67
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.93,0.77,0.35
verm,1.0,1.0,1.0,0.87
weitkred,0.47,0.52,0.23,0.04
wohn,0.99,1.0,0.98,0.78
bishkred,0.64,0.57,0.31,0.02
beruf,0.73,0.71,0.41,0.03
pers,0.5,0.6,0.33,0.17
telef,0.95,0.96,0.91,0.64
gastarb,0.98,0.99,0.97,0.77
kredit,0.76,0.82,0.61,0.34
