Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.74
moral,0.78,0.75,0.42,0.08
verw,0.92,0.84,0.58,0.03
sparkont,1.0,1.0,0.99,0.79
beszeit,0.96,0.94,0.81,0.22
rate,0.91,0.91,0.71,0.3
famges,1.0,1.0,0.98,0.73
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.93,0.78,0.33
verm,1.0,1.0,0.99,0.84
weitkred,0.52,0.58,0.26,0.09
wohn,1.0,1.0,0.99,0.85
bishkred,0.67,0.6,0.34,0.03
beruf,0.75,0.72,0.43,0.02
pers,0.58,0.67,0.41,0.21
telef,0.97,0.98,0.95,0.71
gastarb,1.0,1.0,0.99,0.88
kredit,0.85,0.89,0.73,0.44
