laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
4 24 2 1 7615 5 4 3 3 1 2 3 38 3 2 1 4 2 2 2 1
3 15 2 3 1482 4 3 4 2 1 2 1 22 3 3 1 3 2 1 2 1
4 18 2 1 1929 4 3 4 1 2 2 2 35 3 2 1 3 1 2 2 1
3 15 1 9 981 5 4 3 3 1 2 1 29 3 2 2 3 2 1 1 1
2 36 2 2 3754 1 3 3 4 1 2 3 37 3 1 1 3 1 1 1 1
1 36 2 0 1859 1 2 4 4 1 4 2 34 3 2 1 4 2 2 1 0
3 30 0 9 4294 4 3 2 3 1 2 1 26 3 3 1 3 2 1 2 1
3 6 2 3 1353 5 4 3 1 1 4 2 42 1 1 1 3 1 2 2 1
4 24 4 1 4047 4 5 3 3 1 4 3 43 1 1 2 3 2 2 2 1
4 36 4 3 4591 4 3 4 4 1 4 4 34 3 3 2 3 2 1 1 1
1 18 4 2 3342 4 3 2 3 1 4 2 33 3 3 2 3 2 2 2 1
2 9 2 9 647 1 3 4 2 3 3 2 28 2 1 1 2 2 1 1 0
3 18 0 9 4190 3 3 2 3 1 2 2 36 3 3 2 3 1 1 1 0
2 6 4 0 924 4 4 2 4 1 3 4 39 3 1 2 2 2 1 2 1
2 12 4 9 1412 3 4 4 1 1 4 1 26 3 1 2 3 2 2 1 1
3 21 4 0 586 3 1 4 4 1 4 4 65 1 2 2 3 2 1 1 1
3 12 2 0 1330 5 3 4 2 1 4 1 54 3 1 1 3 2 2 2 1
4 24 4 9 1548 3 4 3 1 1 2 4 23 3 2 2 4 2 2 2 0
4 24 2 9 1749 3 4 4 1 1 4 2 40 1 3 2 3 2 2 2 1
2 12 2 9 671 2 2 4 4 1 4 2 20 1 1 1 2 2 1 1 0
1 24 2 0 1280 1 1 4 2 1 4 4 32 3 3 1 3 2 1 2 0
4 12 2 3 2185 3 2 3 4 1 2 1 29 2 1 1 3 2 1 1 1
4 24 3 1 6886 4 3 2 3 1 4 4 46 3 2 2 3 1 2 1 1
3 15 2 0 3559 4 3 1 3 1 2 1 29 3 1 1 3 2 1 1 1
4 6 4 1 2029 2 1 3 1 1 2 4 24 3 2 4 3 2 1 2 1
4 6 2 1 2978 5 3 1 4 1 2 1 32 3 1 1 3 2 1 1 1
2 18 4 9 6101 1 5 3 1 1 4 3 33 3 3 2 3 2 2 2 1
1 24 2 3 1804 1 5 4 4 1 4 3 59 3 3 1 4 2 2 1 1
3 21 3 2 3655 1 4 2 4 3 2 3 27 1 2 2 3 2 1 1 1
2 24 2 0 923 4 4 4 4 1 2 1 31 3 2 1 3 1 2 1 1
4 6 4 2 1236 3 3 1 4 1 3 1 27 3 2 2 3 1 1 2 1
2 24 4 1 6386 5 5 4 2 1 3 2 27 3 1 2 4 2 2 1 0
2 24 4 3 6497 3 2 1 1 1 2 3 33 3 1 1 3 2 2 2 1
4 15 4 1 5126 5 5 1 4 1 4 4 58 3 2 1 3 2 2 2 1
2 18 4 1 3567 3 4 3 3 1 1 4 40 3 3 3 4 1 2 2 0
1 15 0 3 1299 4 5 3 1 1 4 4 39 3 3 2 3 2 1 1 0
2 10 2 2 1533 2 3 3 3 1 2 1 31 3 3 1 2 1 1 1 1
1 24 1 6 1931 1 2 4 2 1 4 2 34 1 1 1 3 2 1 1 0
4 12 4 3 1308 1 3 4 2 1 3 1 35 3 2 2 3 2 1 1 1
1 18 2 3 1341 1 3 4 4 1 4 4 26 3 3 1 3 2 1 1 0
3 18 4 2 2197 5 3 2 4 1 3 3 24 3 1 2 3 2 1 2 0
1 9 2 3 1360 1 2 3 2 1 4 1 22 3 3 1 3 2 1 2 0
1 24 2 1 1924 1 3 4 4 1 4 4 29 3 1 1 3 2 2 2 1
2 30 2 3 3428 2 3 3 2 1 2 1 27 3 1 1 3 2 1 2 1
4 30 2 3 2389 4 5 4 4 1 3 3 30 3 2 1 3 1 1 2 1
1 18 4 0 2287 2 2 3 1 1 3 2 28 3 2 2 3 2 1 2 0
3 21 4 2 2798 1 4 3 1 1 2 3 32 3 2 2 3 2 2 2 1
3 48 2 3 3142 1 5 4 2 3 4 1 21 2 1 1 2 2 2 2 0
1 48 0 9 7681 1 4 2 1 1 4 4 37 3 3 1 3 2 1 2 0
1 24 3 2 4244 3 3 2 2 1 3 3 35 3 1 2 3 2 1 2 1
1 24 1 0 2668 1 3 3 2 1 4 4 20 3 1 1 3 2 2 2 0
1 60 2 3 7408 1 4 4 2 1 1 4 24 3 3 1 4 2 2 1 0
2 12 2 0 1231 1 3 4 4 1 2 4 24 3 1 1 2 2 1 2 0
4 36 2 2 3378 2 3 4 3 1 2 1 28 3 1 1 4 2 2 2 0
4 15 4 3 1298 3 3 4 4 1 2 1 48 3 2 2 2 2 1 1 1
1 24 3 0 2592 2 5 4 3 1 4 4 47 3 3 1 2 2 1 2 0
1 18 2 2 4244 4 1 2 3 1 3 2 41 3 3 1 3 2 1 2 0
3 15 2 2 5496 4 5 1 3 1 4 4 35 3 3 1 3 2 1 2 1
1 12 2 0 701 4 3 2 2 1 1 2 38 3 2 1 2 1 1 2 1
3 24 3 9 1545 3 4 4 2 1 4 4 24 1 1 1 2 2 1 2 0
2 9 4 3 930 2 5 4 1 1 2 1 52 3 2 2 3 2 2 1 1
1 24 3 1 3529 4 4 2 2 1 3 4 38 3 2 2 3 2 1 2 1
2 30 2 2 12205 1 2 1 1 1 1 3 34 3 1 1 2 2 2 1 0
4 36 2 3 3619 3 5 4 4 1 2 1 28 1 3 1 3 2 1 1 1
3 9 2 2 1392 1 3 4 1 1 3 1 26 3 3 1 3 2 1 1 1
3 9 4 2 1916 5 4 4 4 1 4 1 35 3 3 1 3 2 1 2 1
4 36 3 9 2771 1 3 2 1 1 2 3 26 3 3 2 3 2 2 1 0
1 24 2 9 6602 1 3 2 4 1 2 3 21 2 1 1 2 2 1 1 0
4 12 4 3 754 3 5 4 4 1 4 2 38 2 1 2 3 2 1 1 1
1 12 2 3 725 2 5 4 1 1 4 1 57 3 3 1 2 2 1 2 0
4 24 2 3 3391 5 5 3 3 1 2 3 36 3 2 1 4 2 2 2 1
2 24 4 1 6656 5 1 2 1 1 4 4 75 3 3 2 2 2 2 1 1
2 30 4 1 10787 2 5 3 3 1 4 4 38 3 1 3 3 2 2 1 1
1 12 4 0 4896 1 5 3 4 2 4 4 44 3 3 3 3 2 2 1 0
4 42 2 9 11682 5 4 2 2 1 2 3 32 1 1 1 3 2 2 1 1
1 15 0 9 2301 1 1 2 3 1 4 3 27 3 1 2 3 2 1 1 1
2 12 2 0 796 2 2 1 4 1 1 2 23 3 2 1 2 2 1 1 0
2 48 0 9 11115 2 4 4 3 1 2 3 27 3 3 1 3 2 2 1 0
4 15 4 3 1529 4 5 4 3 1 4 2 50 3 2 2 3 2 2 1 1
2 18 1 9 2026 3 2 4 1 1 1 4 33 3 2 3 3 2 2 2 1
3 24 4 3 2668 4 5 4 3 1 2 1 46 3 3 2 3 2 1 2 1
