Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.14
moral,0.8,0.76,0.44,0.09
verw,0.87,0.73,0.41,0.0
sparkont,0.74,0.73,0.36,0.08
beszeit,0.94,0.93,0.77,0.19
rate,0.9,0.9,0.68,0.26
famges,0.8,0.78,0.5,0.1
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.92,0.92,0.75,0.3
verm,0.98,0.97,0.91,0.45
weitkred,0.54,0.6,0.28,0.08
wohn,0.7,0.74,0.44,0.16
bishkred,0.66,0.6,0.33,0.04
beruf,0.73,0.7,0.41,0.02
pers,0.6,0.69,0.43,0.22
telef,0.96,0.97,0.92,0.66
gastarb,0.22,0.32,0.12,0.06
kredit,0.87,0.9,0.77,0.47
