Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.78,0.75,0.42,0.07
verw,0.88,0.75,0.43,0.0
sparkont,1.0,1.0,0.99,0.75
beszeit,0.96,0.95,0.83,0.26
rate,0.89,0.89,0.68,0.24
famges,1.0,1.0,0.99,0.79
buerge,0.29,0.36,0.12,0.03
wohnzeit,0.94,0.94,0.81,0.39
verm,1.0,1.0,0.99,0.82
weitkred,0.53,0.59,0.27,0.08
wohn,1.0,1.0,0.99,0.83
bishkred,0.67,0.6,0.34,0.02
beruf,0.72,0.7,0.4,0.02
pers,0.61,0.7,0.44,0.23
telef,0.96,0.97,0.93,0.68
gastarb,0.99,0.99,0.98,0.8
kredit,0.85,0.89,0.74,0.44
