Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.94,0.56
moral,0.8,0.76,0.44,0.08
verw,0.91,0.82,0.55,0.03
sparkont,0.96,0.95,0.83,0.33
beszeit,0.93,0.91,0.74,0.15
rate,0.93,0.93,0.76,0.32
famges,0.95,0.95,0.83,0.4
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.93,0.93,0.77,0.31
verm,1.0,1.0,0.99,0.84
weitkred,0.51,0.56,0.26,0.06
wohn,0.94,0.95,0.85,0.44
bishkred,0.68,0.6,0.34,0.02
beruf,0.72,0.69,0.39,0.02
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.94,0.69
gastarb,0.86,0.89,0.75,0.45
kredit,0.87,0.91,0.78,0.48
