Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.83,0.26
moral,0.78,0.75,0.42,0.08
verw,0.87,0.73,0.4,0.01
sparkont,0.78,0.77,0.41,0.11
beszeit,0.94,0.92,0.75,0.17
rate,0.92,0.92,0.73,0.31
famges,0.81,0.79,0.52,0.12
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.77,0.29
verm,0.99,0.98,0.95,0.56
weitkred,0.59,0.62,0.33,0.06
wohn,0.76,0.79,0.51,0.2
bishkred,0.65,0.59,0.32,0.03
beruf,0.74,0.72,0.42,0.04
pers,0.6,0.69,0.43,0.23
telef,0.96,0.97,0.93,0.68
gastarb,0.35,0.46,0.21,0.11
kredit,0.87,0.9,0.77,0.47
