value,frequency,column
 Private,0.739234945501264,work_class
 Self-emp-not-inc,0.08309503087570973,work_class
 Local-gov,0.06834100045588297,work_class
 State-gov,0.04239711550416511,work_class
 Self-emp-inc,0.03497865638857806,work_class
 Federal-gov,0.03141448050064238,work_class
 Without-pay,0.000538770773757719,work_class
 HS-grad,0.32765551825604045,education
 Some-college,0.2195698122591073,education
 Bachelors,0.1686766960918397,education
 Masters,0.05321397488499316,education
 Assoc-voc,0.044262091259480295,education
 11th,0.034232666086451986,education
 Assoc-acdm,0.033942558746736295,education
 10th,0.027228646027601642,education
 7th-8th,0.01856686974180447,education
 Prof-school,0.017696547722657382,education
 9th,0.014629698702805753,education
 12th,0.012391727796427535,education
 Doctorate,0.011935844834017158,education
 5th-6th,0.009407766587923246,education
 1st-4th,0.0050561564921878235,education
 Preschool,0.0015334245099258154,education
 Married-civ-spouse,0.467528699904679,marital_status
 Never-married,0.32139748849931615,marital_status
 Divorced,0.13950018649757553,marital_status
 Separated,0.03137303659496871,marital_status
 Widowed,0.02768452899001202,marital_status
 Married-spouse-absent,0.011935844834017158,marital_status
 Married-AF-spouse,0.0005802146794313896,marital_status
 Craft-repair,0.13394670313730367,occupation
 Prof-specialty,0.1334493762692196,occupation
 Exec-managerial,0.13187450785362012,occupation
 Adm-clerical,0.12321273156782295,occupation
 Sales,0.11836379460400348,occupation
 Other-service,0.10663516929835468,occupation
 Machine-op-inspct,0.06564714658709436,occupation
 Transport-moving,0.05213643333747772,occupation
 Handlers-cleaners,0.044386422976501305,occupation
 Farming-fishing,0.03269924157652617,occupation
 Tech-support,0.030461270670147953,occupation
 Protective-serv,0.022255377346761158,occupation
 Priv-house-serv,0.004641717435451117,occupation
 Armed-Forces,0.0002901073397156948,occupation
 Husband,0.41348584690621243,relationship
 Not-in-family,0.2542998052136433,relationship
 Own-child,0.1487421774628041,relationship
 Unmarried,0.10659372539268101,relationship
 Wife,0.047494715902026606,relationship
 Other-relative,0.029383729122632516,relationship
 White,0.8597952671059721,race
 Black,0.09337311948278006,race
 Asian-Pac-Islander,0.02967383646234821,race
 Amer-Indian-Eskimo,0.009449210493596916,race
 Other,0.007708566455302748,race
 Male,0.6754113307638112,sex
 Female,0.32458866923618884,sex
 United-States,0.9123046955945129,native_country
 Mexico,0.020017406440382943,native_country
 Philippines,0.005760702888640225,native_country
 Germany,0.00418583447304074,native_country
 Canada,0.0036470636992830202,native_country
 Puerto-Rico,0.0036470636992830202,native_country
 India,0.0035227319822620086,native_country
 El-Salvador,0.0033984002652409965,native_country
 Cuba,0.0032740685482199844,native_country
 England,0.00302540511417796,native_country
 Jamaica,0.002486634340420241,native_country
 Dominican-Republic,0.0023208587177255585,native_country
 South,0.0023208587177255585,native_country
 Vietnam,0.002237970906378217,native_country
 China,0.0021965270007045464,native_country
 Guatemala,0.0020721952836835343,native_country
 Italy,0.0020307513780098638,native_country
 Japan,0.0019893074723361928,native_country
 Columbia,0.001864975755315181,native_country
 Poland,0.0018235318496415101,native_country
 Iran,0.001450536698578474,native_country
 Haiti,0.0013676488872311327,native_country
 Taiwan,0.0012847610758837914,native_country
 Portugal,0.0011189854531891085,native_country
 Greece,0.0011189854531891085,native_country
 Nicaragua,0.0010360976418417672,native_country
 Peru,0.0009946537361680964,native_country
 France,0.0009117659248207551,native_country
 Ecuador,0.0008703220191470844,native_country
 Ireland,0.0007874342077997431,native_country
 Hong,0.0006216585851050603,native_country
 Cambodia,0.0006216585851050603,native_country
 Laos,0.000538770773757719,native_country
 Thailand,0.0004973268680840482,native_country
 Trinadad&Tobago,0.0004973268680840482,native_country
 Outlying-US(Guam-USVI-etc),0.0004973268680840482,native_country
 Hungary,0.00045588296241037753,native_country
 Yugoslavia,0.00045588296241037753,native_country
 Scotland,0.0003729951510630362,native_country
 Honduras,0.0003315512453893655,native_country
 Holand-Netherlands,4.1443905673670685e-05,native_country
 <=50K,0.7508392390898918,income
 >50K,0.24916076091010816,income
