Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.78,0.21
moral,0.78,0.74,0.41,0.08
verw,0.9,0.81,0.52,0.02
sparkont,0.78,0.78,0.42,0.12
beszeit,0.93,0.91,0.73,0.15
rate,0.92,0.92,0.74,0.31
famges,0.81,0.79,0.52,0.14
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.93,0.93,0.77,0.31
verm,0.97,0.97,0.89,0.43
weitkred,0.49,0.55,0.24,0.06
wohn,0.76,0.79,0.51,0.19
bishkred,0.67,0.6,0.34,0.02
beruf,0.7,0.68,0.37,0.02
pers,0.61,0.7,0.44,0.23
telef,0.97,0.98,0.94,0.7
gastarb,0.35,0.46,0.21,0.11
kredit,0.85,0.89,0.74,0.44
