33, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,20, Germany, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
20, Private, 9th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, India, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Hong, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, 11th, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Honduras, <=50K
39, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,60, Haiti, >50K
31, Private, Assoc-voc, Divorced, Exec-managerial, Wife, Black, Male,0,0,54, Yugoslavia, <=50K
48, Private, HS-grad, Separated, Adm-clerical, Unmarried, Other, Female,0,0,40, Guatemala, <=50K
22, Private, Masters, Never-married, Craft-repair, Own-child, Other, Male,0,0,25, United-States, <=50K
56, Private, 1st-4th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,8372,0,45, China, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,52, Vietnam, <=50K
65, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Female,7298,0,40, United-States, >50K
44, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,45, Haiti, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,30, Dominican-Republic, <=50K
46, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,65, Hungary, <=50K
29, Private, Bachelors, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,40, Greece, <=50K
31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,38, Jamaica, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Husband, Other, Female,0,0,40, China, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,35, China, <=50K
40, State-gov, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,1913,0,32, Yugoslavia, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,54, Honduras, >50K
42, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, <=50K
50, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1890,40, Honduras, >50K
57, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Greece, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
35, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,42, United-States, <=50K
28, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,54, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
