36, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
24, Private, Some-college, Divorced, Sales, Own-child, Other, Male,0,0,10, Iran, >50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, England, <=50K
52, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, >50K
21, Private, Bachelors, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,50, Trinadad&Tobago, <=50K
54, Private, 9th, Married-civ-spouse, Sales, Husband, Black, Male,0,0,54, El-Salvador, >50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Dominican-Republic, <=50K
44, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Scotland, >50K
43, Private, 9th, Never-married, Other-service, Not-in-family, White, Female,0,0,30, Scotland, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Ireland, >50K
23, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,12, Mexico, >50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, Cambodia, <=50K
61, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,38, Philippines, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
44, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, China, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,43, Yugoslavia, >50K
37, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,35, Jamaica, <=50K
64, Private, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,20, Yugoslavia, <=50K
38, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
33, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Female,0,0,50, Jamaica, <=50K
46, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1902,40, Trinadad&Tobago, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, China, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,30, El-Salvador, >50K
41, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,30, Dominican-Republic, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,35, Germany, <=50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,34, Canada, <=50K
32, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,25, Yugoslavia, <=50K
36, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,15, Thailand, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,10, El-Salvador, <=50K
51, Private, Some-college, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Greece, <=50K
60, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,48, Guatemala, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, >50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Nicaragua, >50K
34, Federal-gov, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,50, Japan, <=50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,45, Laos, >50K
29, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, France, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, Laos, <=50K
34, Private, Bachelors, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Poland, <=50K
33, Federal-gov, Assoc-voc, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,1977,45, El-Salvador, >50K
51, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,50, Hong, <=50K
26, Federal-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
53, Private, Assoc-voc, Widowed, Other-service, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
46, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,70, Dominican-Republic, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, India, <=50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,7687,0,40, Outlying-US(Guam-USVI-etc), >50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,12, Jamaica, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
42, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1885,40, South, >50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Thailand, <=50K
31, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Ecuador, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,70, Canada, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,45, Yugoslavia, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,2829,0,40, Taiwan, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,25, Greece, >50K
57, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
