Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.97,0.64
moral,0.81,0.78,0.46,0.09
verw,0.89,0.78,0.47,0.02
sparkont,0.96,0.95,0.81,0.34
beszeit,0.94,0.92,0.75,0.2
rate,0.91,0.92,0.72,0.31
famges,0.95,0.95,0.82,0.38
buerge,0.29,0.37,0.12,0.04
wohnzeit,0.92,0.9,0.73,0.25
verm,1.0,1.0,1.0,0.86
weitkred,0.48,0.54,0.24,0.06
wohn,0.95,0.95,0.86,0.46
bishkred,0.68,0.61,0.34,0.03
beruf,0.72,0.69,0.39,0.02
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.93,0.68
gastarb,0.86,0.9,0.76,0.46
kredit,0.85,0.89,0.74,0.44
