Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.76,0.17
moral,0.77,0.73,0.4,0.07
verw,0.9,0.79,0.46,0.03
sparkont,0.74,0.74,0.37,0.08
beszeit,0.94,0.92,0.77,0.17
rate,0.9,0.9,0.68,0.27
famges,0.79,0.77,0.48,0.09
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.92,0.91,0.74,0.29
verm,0.98,0.98,0.92,0.48
weitkred,0.46,0.52,0.22,0.05
wohn,0.68,0.73,0.42,0.16
bishkred,0.64,0.56,0.31,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.53,0.63,0.36,0.19
telef,0.96,0.97,0.93,0.68
gastarb,0.14,0.22,0.07,0.04
kredit,0.83,0.87,0.71,0.41
