Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.95,0.84,0.34
moral,0.79,0.74,0.43,0.07
verw,0.89,0.78,0.46,0.01
sparkont,0.85,0.84,0.53,0.17
beszeit,0.95,0.93,0.78,0.16
rate,0.9,0.9,0.7,0.28
famges,0.87,0.86,0.62,0.21
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.93,0.92,0.77,0.31
verm,0.99,0.99,0.98,0.72
weitkred,0.49,0.54,0.24,0.06
wohn,0.87,0.89,0.69,0.31
bishkred,0.65,0.57,0.32,0.01
beruf,0.69,0.67,0.35,0.02
pers,0.48,0.58,0.31,0.16
telef,0.98,0.98,0.96,0.74
gastarb,0.52,0.62,0.35,0.18
kredit,0.81,0.86,0.68,0.4
