Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.94,0.53
moral,0.79,0.75,0.43,0.07
verw,0.92,0.84,0.58,0.02
sparkont,0.95,0.95,0.8,0.39
beszeit,0.96,0.94,0.81,0.23
rate,0.91,0.91,0.72,0.29
famges,0.95,0.95,0.82,0.41
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.94,0.94,0.8,0.34
verm,1.0,1.0,0.99,0.82
weitkred,0.53,0.59,0.28,0.07
wohn,0.94,0.95,0.84,0.46
bishkred,0.67,0.61,0.33,0.04
beruf,0.75,0.72,0.42,0.02
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.95,0.72
gastarb,0.86,0.9,0.76,0.46
kredit,0.86,0.89,0.75,0.45
