Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.83,0.3
moral,0.78,0.73,0.41,0.06
verw,0.88,0.75,0.43,0.01
sparkont,0.78,0.78,0.42,0.13
beszeit,0.95,0.93,0.79,0.21
rate,0.9,0.9,0.69,0.27
famges,0.82,0.8,0.54,0.13
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.93,0.78,0.32
verm,0.99,0.99,0.95,0.57
weitkred,0.52,0.56,0.26,0.05
wohn,0.73,0.77,0.48,0.17
bishkred,0.67,0.6,0.34,0.02
beruf,0.73,0.71,0.4,0.03
pers,0.58,0.67,0.41,0.21
telef,0.97,0.98,0.95,0.72
gastarb,0.31,0.42,0.18,0.09
kredit,0.83,0.87,0.71,0.42
