Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.94,0.53
moral,0.8,0.77,0.45,0.1
verw,0.91,0.8,0.51,0.01
sparkont,0.95,0.95,0.8,0.35
beszeit,0.94,0.92,0.77,0.14
rate,0.89,0.89,0.67,0.25
famges,0.95,0.94,0.82,0.39
buerge,0.31,0.38,0.13,0.05
wohnzeit,0.94,0.93,0.79,0.37
verm,1.0,1.0,0.99,0.78
weitkred,0.54,0.57,0.28,0.05
wohn,0.95,0.96,0.87,0.47
bishkred,0.68,0.62,0.35,0.03
beruf,0.74,0.72,0.41,0.04
pers,0.63,0.71,0.46,0.24
telef,0.97,0.98,0.95,0.72
gastarb,0.86,0.9,0.75,0.45
kredit,0.88,0.91,0.79,0.49
