Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.93,0.52
moral,0.8,0.76,0.45,0.08
verw,0.89,0.77,0.47,0.01
sparkont,0.96,0.96,0.84,0.41
beszeit,0.92,0.91,0.71,0.16
rate,0.91,0.91,0.71,0.29
famges,0.92,0.91,0.75,0.29
buerge,0.33,0.41,0.14,0.05
wohnzeit,0.95,0.94,0.81,0.36
verm,1.0,0.99,0.98,0.74
weitkred,0.5,0.56,0.25,0.07
wohn,0.74,0.78,0.49,0.17
bishkred,0.65,0.59,0.32,0.03
beruf,0.74,0.72,0.42,0.03
pers,0.64,0.72,0.47,0.25
telef,0.95,0.97,0.91,0.65
gastarb,0.26,0.37,0.15,0.08
kredit,0.86,0.9,0.76,0.46
