Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.76,0.17
moral,0.78,0.74,0.42,0.08
verw,0.89,0.79,0.45,0.03
sparkont,0.72,0.71,0.34,0.08
beszeit,0.95,0.93,0.78,0.19
rate,0.9,0.9,0.69,0.29
famges,0.79,0.77,0.49,0.1
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.93,0.92,0.77,0.33
verm,0.97,0.97,0.9,0.43
weitkred,0.46,0.52,0.22,0.06
wohn,0.66,0.71,0.4,0.14
bishkred,0.65,0.57,0.32,0.01
beruf,0.72,0.71,0.39,0.04
pers,0.53,0.63,0.36,0.19
telef,0.96,0.97,0.93,0.68
gastarb,0.16,0.25,0.09,0.04
kredit,0.85,0.89,0.74,0.44
