Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.8,0.77,0.45,0.09
verw,0.89,0.78,0.47,0.01
sparkont,0.99,0.99,0.97,0.66
beszeit,0.95,0.94,0.8,0.23
rate,0.88,0.89,0.65,0.27
famges,0.99,0.99,0.96,0.63
buerge,0.32,0.39,0.13,0.04
wohnzeit,0.93,0.92,0.77,0.33
verm,1.0,1.0,0.99,0.83
weitkred,0.52,0.57,0.27,0.07
wohn,0.99,1.0,0.99,0.78
bishkred,0.68,0.62,0.35,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.59,0.68,0.42,0.22
telef,0.95,0.97,0.91,0.65
gastarb,0.99,0.99,0.97,0.79
kredit,0.85,0.89,0.74,0.44
