Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.9,0.45
moral,0.82,0.79,0.48,0.1
verw,0.89,0.78,0.48,0.01
sparkont,0.91,0.91,0.67,0.27
beszeit,0.95,0.94,0.79,0.21
rate,0.91,0.91,0.72,0.29
famges,0.92,0.92,0.74,0.32
buerge,0.34,0.42,0.14,0.06
wohnzeit,0.94,0.94,0.8,0.34
verm,1.0,1.0,0.98,0.72
weitkred,0.55,0.6,0.29,0.08
wohn,0.89,0.9,0.73,0.34
bishkred,0.68,0.62,0.35,0.03
beruf,0.71,0.68,0.38,0.02
pers,0.57,0.67,0.4,0.21
telef,0.98,0.98,0.95,0.73
gastarb,0.72,0.78,0.56,0.31
kredit,0.87,0.91,0.77,0.47
