Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.96,0.64
moral,0.79,0.74,0.42,0.08
verw,0.89,0.77,0.46,0.02
sparkont,0.95,0.95,0.8,0.34
beszeit,0.95,0.94,0.8,0.21
rate,0.91,0.92,0.73,0.35
famges,0.93,0.93,0.77,0.34
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.93,0.92,0.76,0.31
verm,1.0,1.0,0.99,0.84
weitkred,0.46,0.5,0.22,0.03
wohn,0.88,0.89,0.71,0.32
bishkred,0.67,0.59,0.33,0.01
beruf,0.69,0.67,0.36,0.02
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.23,0.33,0.13,0.06
kredit,0.82,0.87,0.69,0.4
