Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.83
moral,0.77,0.73,0.4,0.07
verw,0.9,0.78,0.46,0.01
sparkont,1.0,1.0,0.99,0.77
beszeit,0.94,0.92,0.75,0.17
rate,0.95,0.95,0.82,0.38
famges,1.0,1.0,0.98,0.72
buerge,0.28,0.35,0.11,0.03
wohnzeit,0.93,0.92,0.76,0.33
verm,1.0,1.0,0.99,0.83
weitkred,0.5,0.55,0.25,0.06
wohn,1.0,1.0,1.0,0.88
bishkred,0.65,0.58,0.32,0.02
beruf,0.7,0.69,0.37,0.03
pers,0.5,0.6,0.33,0.17
telef,0.95,0.96,0.9,0.63
gastarb,1.0,1.0,0.99,0.87
kredit,0.86,0.9,0.76,0.46
