Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.98,0.75
moral,0.8,0.77,0.45,0.1
verw,0.89,0.77,0.45,0.01
sparkont,0.99,0.98,0.94,0.55
beszeit,0.95,0.93,0.78,0.17
rate,0.91,0.91,0.72,0.3
famges,0.97,0.97,0.89,0.49
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.92,0.91,0.74,0.3
verm,1.0,1.0,0.99,0.84
weitkred,0.47,0.51,0.23,0.04
wohn,0.97,0.97,0.91,0.57
bishkred,0.65,0.58,0.32,0.01
beruf,0.74,0.71,0.42,0.02
pers,0.52,0.62,0.35,0.18
telef,0.98,0.98,0.96,0.74
gastarb,0.24,0.35,0.14,0.07
kredit,0.81,0.86,0.68,0.39
