33, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,20, Dominican-Republic, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, >50K
20, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, France, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,40, England, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,50, United-States, <=50K
22, Private, 11th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, England, <=50K
39, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,15024,0,60, El-Salvador, >50K
31, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
48, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
22, Private, Masters, Never-married, Craft-repair, Own-child, Black, Male,0,0,25, Trinadad&Tobago, <=50K
55, Private, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,30, Jamaica, <=50K
19, Private, Bachelors, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, >50K
29, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,45, Canada, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Scotland, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Other, Female,0,0,16, Vietnam, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,54, Yugoslavia, <=50K
64, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,5178,0,40, Mexico, >50K
44, Private, Bachelors, Separated, Adm-clerical, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,45, El-Salvador, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Laos, <=50K
31, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,30, Columbia, <=50K
