Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.89,0.4
moral,0.8,0.76,0.44,0.1
verw,0.91,0.8,0.51,0.02
sparkont,0.88,0.88,0.6,0.22
beszeit,0.94,0.92,0.76,0.15
rate,0.9,0.9,0.68,0.26
famges,0.9,0.9,0.7,0.27
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.94,0.93,0.79,0.34
verm,0.99,0.99,0.95,0.61
weitkred,0.56,0.6,0.3,0.06
wohn,0.88,0.89,0.71,0.31
bishkred,0.69,0.62,0.35,0.03
beruf,0.73,0.7,0.4,0.03
pers,0.61,0.7,0.44,0.23
telef,0.97,0.98,0.94,0.71
gastarb,0.69,0.76,0.53,0.29
kredit,0.89,0.92,0.8,0.5
