21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,52, United-States, <=50K
49, Private, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
38, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,35, Vietnam, <=50K
61, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,69, United-States, >50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,1712,40, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Japan, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,15, Philippines, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
18, Private, 12th, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,7, United-States, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,12, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Doctorate, Divorced, Exec-managerial, Husband, White, Male,0,1887,40, Philippines, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, Greece, >50K
37, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,37, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,4050,0,50, United-States, >50K
