Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.83
moral,0.79,0.76,0.43,0.1
verw,0.89,0.78,0.47,0.01
sparkont,1.0,1.0,1.0,0.88
beszeit,0.95,0.94,0.8,0.22
rate,0.9,0.91,0.7,0.31
famges,1.0,1.0,0.98,0.74
buerge,0.32,0.4,0.14,0.05
wohnzeit,0.94,0.94,0.81,0.34
verm,1.0,1.0,0.99,0.83
weitkred,0.51,0.57,0.26,0.08
wohn,1.0,1.0,0.99,0.87
bishkred,0.65,0.56,0.32,0.01
beruf,0.73,0.69,0.41,0.01
pers,0.65,0.73,0.48,0.26
telef,0.96,0.97,0.92,0.67
gastarb,1.0,1.0,0.99,0.9
kredit,0.87,0.91,0.77,0.47
