Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.94,0.52
moral,0.81,0.77,0.45,0.07
verw,0.9,0.79,0.5,0.01
sparkont,0.94,0.93,0.75,0.33
beszeit,0.95,0.93,0.79,0.2
rate,0.89,0.89,0.68,0.24
famges,0.92,0.91,0.73,0.28
buerge,0.31,0.39,0.13,0.04
wohnzeit,0.94,0.94,0.8,0.37
verm,0.99,0.99,0.98,0.71
weitkred,0.53,0.6,0.28,0.09
wohn,0.71,0.75,0.45,0.16
bishkred,0.68,0.6,0.35,0.02
beruf,0.72,0.7,0.39,0.03
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.93,0.69
gastarb,0.26,0.37,0.15,0.08
kredit,0.85,0.89,0.74,0.44
