Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.91,0.44
moral,0.8,0.76,0.44,0.07
verw,0.91,0.82,0.52,0.03
sparkont,0.97,0.97,0.88,0.48
beszeit,0.95,0.94,0.8,0.21
rate,0.92,0.92,0.75,0.31
famges,0.92,0.92,0.75,0.33
buerge,0.3,0.38,0.12,0.06
wohnzeit,0.94,0.93,0.79,0.34
verm,0.99,0.99,0.96,0.64
weitkred,0.55,0.61,0.29,0.1
wohn,0.75,0.78,0.5,0.18
bishkred,0.65,0.58,0.32,0.02
beruf,0.82,0.85,0.61,0.28
pers,0.62,0.71,0.45,0.24
telef,0.98,0.98,0.96,0.75
gastarb,0.25,0.36,0.14,0.07
kredit,0.85,0.89,0.74,0.44
