Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.8,0.77,0.45,0.1
verw,0.9,0.8,0.51,0.02
sparkont,0.99,0.99,0.97,0.67
beszeit,0.94,0.92,0.77,0.17
rate,0.9,0.9,0.69,0.26
famges,0.99,0.99,0.97,0.68
buerge,0.32,0.41,0.14,0.07
wohnzeit,0.94,0.93,0.78,0.36
verm,1.0,1.0,0.99,0.79
weitkred,0.56,0.59,0.3,0.05
wohn,1.0,1.0,0.99,0.8
bishkred,0.69,0.62,0.36,0.03
beruf,0.74,0.71,0.41,0.03
pers,0.62,0.71,0.45,0.24
telef,0.97,0.98,0.95,0.72
gastarb,0.99,0.99,0.97,0.79
kredit,0.88,0.91,0.78,0.48
