37, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
25, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,10, Iran, >50K
59, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, England, <=50K
53, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, Other, Male,0,0,40, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,50, Trinadad&Tobago, <=50K
55, Private, 5th-6th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,54, El-Salvador, >50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
42, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
45, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
43, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,30, Scotland, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Ireland, >50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,12, Nicaragua, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Cambodia, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,38, Poland, <=50K
27, Private, HS-grad, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Jamaica, >50K
64, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,0,0,20, Yugoslavia, <=50K
38, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Jamaica, <=50K
46, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,1928,40, Trinadad&Tobago, <=50K
29, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,35, China, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,30, El-Salvador, <=50K
41, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,30, Dominican-Republic, <=50K
33, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,35, Germany, <=50K
31, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
39, Private, HS-grad, Married-spouse-absent, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,32, Canada, >50K
32, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,22, Yugoslavia, <=50K
37, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,15, Thailand, <=50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, Black, Male,0,0,10, El-Salvador, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
60, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,45, Guatemala, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
26, Self-emp-not-inc, Masters, Never-married, Protective-serv, Not-in-family, White, Female,0,0,50, Nicaragua, >50K
35, Local-gov, Assoc-voc, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,50, Japan, >50K
56, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,15024,0,45, Japan, >50K
30, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, France, <=50K
30, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,70, Laos, <=50K
35, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
33, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,1902,45, England, >50K
52, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,50, Hong, <=50K
27, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
54, Self-emp-inc, Assoc-acdm, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
52, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
45, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,40, Cuba, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,70, Ecuador, <=50K
