26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Iran, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Male,0,0,40, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,30, Trinadad&Tobago, <=50K
19, Private, 11th, Never-married, Protective-serv, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
27, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Ecuador, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,48, Yugoslavia, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
31, Local-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,50, Scotland, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,5098,0,48, Ireland, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,7511,0,65, Nicaragua, >50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Canada, >50K
26, Self-emp-inc, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Philippines, >50K
28, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Female,7176,0,50, Vietnam, >50K
45, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, Columbia, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,1862,40, Yugoslavia, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,4810,0,60, Yugoslavia, <=50K
34, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
24, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Female,0,0,40, Jamaica, <=50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
41, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1902,40, China, >50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Female,4281,0,40, El-Salvador, <=50K
46, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
37, Private, Bachelors, Married-spouse-absent, Exec-managerial, Husband, Black, Female,0,0,48, Germany, <=50K
35, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,50, Cambodia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
19, State-gov, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Thailand, <=50K
24, Private, Some-college, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
38, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
46, Private, Some-college, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,1887,40, Greece, <=50K
24, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Guatemala, >50K
29, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,8, Dominican-Republic, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Nicaragua, <=50K
34, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, >50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
39, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Laos, >50K
55, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Male,21366,0,40, Poland, >50K
22, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,7687,0,40, England, >50K
65, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,30, Hong, <=50K
27, Federal-gov, Some-college, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,3983,0,40, Mexico, >50K
21, Private, Bachelors, Never-married, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,3103,0,40, Honduras, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1902,50, Yugoslavia, >50K
18, Private, 11th, Never-married, Farming-fishing, Own-child, Other, Male,0,0,40, Cuba, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,25, Dominican-Republic, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, India, >50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,42, Nicaragua, >50K
56, State-gov, Prof-school, Never-married, Exec-managerial, Husband, Black, Male,0,0,30, Cuba, >50K
23, Self-emp-not-inc, 12th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Jamaica, >50K
46, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
37, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,48, South, >50K
28, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,55, Thailand, <=50K
43, Private, 7th-8th, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, Ecuador, <=50K
28, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,30, Yugoslavia, >50K
44, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,1902,40, Taiwan, >50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Philippines, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,25, Guatemala, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,15024,0,40, Puerto-Rico, >50K
33, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,48, Jamaica, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,10, India, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, Other, Female,0,0,25, France, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Germany, <=50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Male,2191,0,40, Japan, <=50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
33, Private, Bachelors, Divorced, Farming-fishing, Unmarried, Other, Female,0,0,48, Ecuador, <=50K
54, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, South, >50K
43, Private, Some-college, Divorced, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
42, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,49, Germany, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, South, >50K
39, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
47, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, >50K
45, Local-gov, Bachelors, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,42, Haiti, <=50K
26, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
36, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,30, Columbia, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
32, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,45, Hong, <=50K
41, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
31, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Greece, >50K
29, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,45, Thailand, >50K
29, Private, HS-grad, Never-married, Priv-house-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, El-Salvador, <=50K
34, Private, Bachelors, Divorced, Priv-house-serv, Unmarried, Black, Female,0,0,40, South, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,30, South, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Scotland, >50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, France, <=50K
47, Federal-gov, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,2237,40, China, <=50K
38, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Jamaica, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, Thailand, >50K
33, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Thailand, <=50K
37, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, England, <=50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Guatemala, >50K
60, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Wife, White, Male,0,2411,60, Thailand, >50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
38, Without-pay, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, Guatemala, <=50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,60, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Germany, <=50K
59, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Female,15024,0,20, Scotland, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Taiwan, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,12, Outlying-US(Guam-USVI-etc), <=50K
27, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Scotland, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,1887,54, Philippines, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Taiwan, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Canada, <=50K
48, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,40, Portugal, <=50K
28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,6, Outlying-US(Guam-USVI-etc), <=50K
57, State-gov, HS-grad, Widowed, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
62, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Taiwan, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,56, El-Salvador, >50K
40, State-gov, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, Honduras, <=50K
28, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
69, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,15, Nicaragua, >50K
24, Private, HS-grad, Never-married, Priv-house-serv, Wife, Black, Female,0,0,40, Italy, <=50K
46, State-gov, Some-college, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Hungary, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
57, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Columbia, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, Other, Male,0,0,30, Ireland, >50K
48, Federal-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Hong, <=50K
46, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Japan, <=50K
31, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Columbia, <=50K
51, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Jamaica, >50K
