62, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,48, Dominican-Republic, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Iran, >50K
22, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Female,0,0,54, El-Salvador, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, El-Salvador, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Trinadad&Tobago, <=50K
70, Private, 11th, Widowed, Other-service, Not-in-family, Black, Female,0,0,25, El-Salvador, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Ecuador, <=50K
58, Private, 9th, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
47, Local-gov, HS-grad, Separated, Craft-repair, Not-in-family, Black, Female,0,2141,40, Scotland, <=50K
35, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
58, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,54, Nicaragua, >50K
57, Private, Some-college, Separated, Other-service, Not-in-family, Other, Female,0,0,40, Canada, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, Philippines, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, Vietnam, <=50K
32, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,20, Columbia, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,54, Yugoslavia, <=50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
38, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,3103,0,24, Yugoslavia, <=50K
30, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,35, Jamaica, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, China, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, El-Salvador, <=50K
64, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Dominican-Republic, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,4071,0,40, Germany, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,25, Cambodia, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
54, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
36, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,4981,0,40, Thailand, >50K
42, Private, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
70, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Greece, <=50K
41, Self-emp-inc, Bachelors, Divorced, Protective-serv, Not-in-family, Other, Female,0,0,70, Guatemala, <=50K
61, State-gov, HS-grad, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,30, Nicaragua, <=50K
26, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
27, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Laos, >50K
21, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Philippines, >50K
28, Local-gov, 9th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,45, England, <=50K
43, Local-gov, Bachelors, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
34, Private, Bachelors, Widowed, Prof-specialty, Own-child, Other, Male,0,2251,50, Jamaica, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Honduras, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,10, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Cuba, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
51, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,1587,40, India, <=50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,40, Nicaragua, <=50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
43, Private, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
21, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Jamaica, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Taiwan, <=50K
45, Private, 10th, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,6, Ecuador, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
68, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,35, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
57, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, Poland, >50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, Guatemala, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Portugal, <=50K
46, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
36, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, India, <=50K
30, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1887,50, England, >50K
40, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Female,7687,0,50, Germany, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,10, Ireland, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Japan, >50K
73, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,25, Columbia, <=50K
22, Private, HS-grad, Married-spouse-absent, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,50, Ecuador, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, South, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,44, Cuba, <=50K
27, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
70, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,37, South, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
62, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,42, Iran, <=50K
70, Self-emp-not-inc, 9th, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Trinadad&Tobago, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, >50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Own-child, Other, Male,0,0,50, Hong, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Taiwan, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Greece, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, El-Salvador, >50K
37, Private, HS-grad, Divorced, Other-service, Own-child, Other, Female,0,0,80, South, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,42, South, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,9466,0,45, Thailand, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,35, Scotland, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, France, >50K
57, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,52, China, >50K
29, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,50, Italy, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Other-service, Wife, Other, Female,0,0,16, Taiwan, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Iran, >50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, Thailand, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, England, <=50K
42, State-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Guatemala, >50K
42, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,4262,0,40, Thailand, <=50K
22, Self-emp-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, <=50K
30, State-gov, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
48, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,1979,45, Ecuador, >50K
44, Private, HS-grad, Widowed, Sales, Not-in-family, Black, Female,0,0,44, Germany, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,4941,0,40, Puerto-Rico, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,38, Taiwan, >50K
39, Private, Some-college, Widowed, Craft-repair, Not-in-family, Other, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
46, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, >50K
80, Self-emp-not-inc, HS-grad, Widowed, Other-service, Unmarried, Black, Female,0,0,30, Scotland, <=50K
34, Private, Masters, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, >50K
52, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,37, China, <=50K
72, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,234,0,16, Portugal, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), >50K
52, State-gov, HS-grad, Divorced, Priv-house-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
48, Private, Masters, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7687,0,40, El-Salvador, >50K
23, State-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, Honduras, <=50K
36, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,5238,0,40, Germany, >50K
43, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
33, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Italy, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, Columbia, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,46, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Ireland, >50K
29, Local-gov, 11th, Never-married, Craft-repair, Not-in-family, White, Female,1226,0,40, Hong, <=50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Japan, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 10th, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,16, Cuba, <=50K
20, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Haiti, >50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
32, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,3819,0,40, Italy, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Japan, <=50K
51, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
