67, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
49, Private, Preschool, Married-civ-spouse, Sales, Husband, White, Male,99999,0,60, Iran, >50K
48, Private, Assoc-voc, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,9, England, <=50K
60, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, Ecuador, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, Yugoslavia, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,35, Dominican-Republic, <=50K
37, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,35, Scotland, <=50K
39, Private, 9th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, South, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,45, Ireland, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, Nicaragua, >50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Poland, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Vietnam, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
36, Private, Assoc-voc, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
41, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
59, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, >50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Jamaica, >50K
32, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,30, China, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
23, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,30, Dominican-Republic, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, Germany, >50K
30, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7607,0,50, Canada, >50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, Yugoslavia, <=50K
45, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2347,40, Trinadad&Tobago, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,7, South, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, El-Salvador, <=50K
54, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2089,40, Haiti, >50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
37, Self-emp-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, Nicaragua, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,45, Japan, >50K
29, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,40, Japan, <=50K
