Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.89,0.44
moral,0.77,0.72,0.4,0.07
verw,0.9,0.79,0.47,0.01
sparkont,0.91,0.91,0.67,0.24
beszeit,0.95,0.93,0.78,0.17
rate,0.89,0.89,0.67,0.28
famges,0.91,0.9,0.71,0.29
buerge,0.23,0.29,0.09,0.02
wohnzeit,0.92,0.91,0.73,0.29
verm,0.99,0.99,0.98,0.7
weitkred,0.45,0.48,0.21,0.02
wohn,0.9,0.91,0.74,0.34
bishkred,0.66,0.58,0.33,0.01
beruf,0.69,0.68,0.36,0.02
pers,0.51,0.61,0.34,0.17
telef,0.95,0.96,0.9,0.63
gastarb,0.73,0.8,0.57,0.32
kredit,0.74,0.81,0.59,0.33
