Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.8,0.77,0.45,0.09
verw,0.88,0.76,0.45,0.0
sparkont,1.0,1.0,0.99,0.8
beszeit,0.94,0.92,0.76,0.16
rate,0.91,0.91,0.72,0.31
famges,1.0,0.99,0.98,0.72
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.93,0.78,0.32
verm,1.0,1.0,0.99,0.81
weitkred,0.57,0.6,0.31,0.06
wohn,1.0,1.0,1.0,0.88
bishkred,0.65,0.58,0.32,0.02
beruf,0.73,0.71,0.4,0.03
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.93,0.67
gastarb,1.0,1.0,0.99,0.88
kredit,0.86,0.9,0.76,0.46
