35, Private, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
50, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,4391,0,45, Iran, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, <=50K
48, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
29, Private, 1st-4th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, El-Salvador, >50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Ecuador, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, Ecuador, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, South, <=50K
60, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, South, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,48, Ireland, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Nicaragua, >50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Canada, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,1142,0,40, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, Poland, <=50K
33, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,99999,0,40, Vietnam, >50K
52, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, Columbia, <=50K
40, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,70, Yugoslavia, >50K
38, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
46, Private, Bachelors, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,48, Ecuador, <=50K
44, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,70, Jamaica, <=50K
23, Private, Some-college, Divorced, Sales, Other-relative, White, Male,0,0,65, United-States, <=50K
29, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Columbia, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, El-Salvador, >50K
57, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Dominican-Republic, >50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
