Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.95,0.84,0.29
moral,0.8,0.76,0.44,0.08
verw,0.88,0.75,0.43,0.0
sparkont,0.75,0.75,0.38,0.1
beszeit,0.94,0.91,0.74,0.15
rate,0.92,0.91,0.73,0.3
famges,0.81,0.79,0.51,0.13
buerge,0.32,0.4,0.14,0.04
wohnzeit,0.92,0.92,0.74,0.31
verm,0.99,0.99,0.95,0.56
weitkred,0.53,0.58,0.28,0.07
wohn,0.73,0.77,0.48,0.17
bishkred,0.66,0.6,0.33,0.03
beruf,0.76,0.71,0.44,0.01
pers,0.63,0.71,0.46,0.24
telef,0.96,0.97,0.93,0.68
gastarb,0.27,0.38,0.16,0.08
kredit,0.86,0.89,0.75,0.45
