Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.74
moral,0.79,0.75,0.42,0.1
verw,0.9,0.79,0.47,0.01
sparkont,0.99,0.98,0.93,0.54
beszeit,0.93,0.91,0.72,0.14
rate,0.93,0.93,0.76,0.35
famges,0.98,0.98,0.93,0.56
buerge,0.25,0.32,0.1,0.02
wohnzeit,0.94,0.94,0.81,0.38
verm,1.0,1.0,1.0,0.85
weitkred,0.51,0.56,0.26,0.06
wohn,0.99,0.99,0.96,0.66
bishkred,0.64,0.56,0.31,0.01
beruf,0.75,0.71,0.42,0.02
pers,0.47,0.57,0.3,0.16
telef,0.93,0.95,0.87,0.58
gastarb,0.96,0.97,0.93,0.68
kredit,0.82,0.87,0.7,0.41
