43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,1977,60, Dominican-Republic, >50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Iran, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, Other, Female,0,0,40, England, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Own-child, Other, Male,0,0,48, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,35, Trinadad&Tobago, <=50K
55, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, El-Salvador, >50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,40, Ecuador, <=50K
18, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Dominican-Republic, >50K
33, Local-gov, Masters, Separated, Exec-managerial, Other-relative, Black, Male,0,0,40, Scotland, <=50K
29, Private, 1st-4th, Never-married, Other-service, Not-in-family, White, Female,0,1887,40, South, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,65, Mexico, >50K
65, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,20, Canada, <=50K
24, Self-emp-not-inc, Masters, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Cuba, <=50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Poland, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, China, >50K
30, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,1880,30, Yugoslavia, <=50K
29, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,18, Japan, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7298,0,54, Yugoslavia, >50K
