56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
18, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,5096,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, India, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, United-States, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,43, United-States, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,301,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,10, United-States, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,60, United-States, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Germany, <=50K
33, Private, Masters, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,24, Italy, >50K
64, State-gov, Some-college, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,46, United-States, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
18, State-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, United-States, <=50K
31, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
49, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,45, United-States, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
47, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,20, United-States, >50K
38, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,16, Vietnam, <=50K
20, Private, 12th, Married-spouse-absent, Farming-fishing, Own-child, White, Male,0,0,30, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
55, Self-emp-inc, 9th, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, 10th, Never-married, Transport-moving, Own-child, White, Male,0,0,70, United-States, <=50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,13, United-States, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Yugoslavia, >50K
41, Private, Prof-school, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
44, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
39, Private, Assoc-acdm, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,54, United-States, <=50K
59, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,45, United-States, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
60, Private, 12th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,7298,0,50, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,60, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
