Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.81,0.77,0.46,0.09
verw,0.89,0.77,0.47,0.01
sparkont,1.0,1.0,0.99,0.82
beszeit,0.95,0.93,0.8,0.17
rate,0.91,0.91,0.72,0.31
famges,1.0,1.0,0.98,0.72
buerge,0.26,0.35,0.11,0.05
wohnzeit,0.93,0.93,0.77,0.31
verm,1.0,1.0,1.0,0.87
weitkred,0.53,0.58,0.27,0.06
wohn,1.0,1.0,1.0,0.87
bishkred,0.69,0.62,0.36,0.02
beruf,0.75,0.72,0.43,0.02
pers,0.6,0.69,0.43,0.22
telef,0.96,0.97,0.93,0.67
gastarb,1.0,1.0,0.99,0.88
kredit,0.84,0.88,0.72,0.43
