Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.8,0.21
moral,0.8,0.77,0.45,0.08
verw,0.91,0.81,0.52,0.03
sparkont,0.75,0.74,0.37,0.1
beszeit,0.95,0.94,0.8,0.21
rate,0.92,0.92,0.74,0.3
famges,0.8,0.79,0.5,0.12
buerge,0.3,0.38,0.12,0.06
wohnzeit,0.94,0.93,0.78,0.36
verm,0.97,0.97,0.9,0.42
weitkred,0.53,0.6,0.28,0.09
wohn,0.75,0.78,0.5,0.18
bishkred,0.66,0.59,0.33,0.02
beruf,0.73,0.68,0.41,0.0
pers,0.65,0.73,0.48,0.26
telef,0.97,0.98,0.94,0.7
gastarb,0.36,0.47,0.22,0.11
kredit,0.86,0.9,0.75,0.45
