,type,this_epoch,total_epochs,batch_num,loss
1,epoch,1,1250,1,298637.0
3,epoch,2,1250,1,204677.06
5,epoch,3,1250,1,133492.9
7,epoch,4,1250,1,86409.734
9,epoch,5,1250,1,60684.57
11,epoch,6,1250,1,48407.785
13,epoch,7,1250,1,43843.52
15,epoch,8,1250,1,43736.523
17,epoch,9,1250,1,46181.785
19,epoch,10,1250,1,49099.16
21,epoch,11,1250,1,51466.316
23,epoch,12,1250,1,52621.22
25,epoch,13,1250,1,52257.414
27,epoch,14,1250,1,51202.98
29,epoch,15,1250,1,50279.277
31,epoch,16,1250,1,49347.098
33,epoch,17,1250,1,48271.43
35,epoch,18,1250,1,47026.844
37,epoch,19,1250,1,45784.305
39,epoch,20,1250,1,44763.465
41,epoch,21,1250,1,44076.17
43,epoch,22,1250,1,43686.18
45,epoch,23,1250,1,43532.527
47,epoch,24,1250,1,43602.19
49,epoch,25,1250,1,43871.7
51,epoch,26,1250,1,44241.707
53,epoch,27,1250,1,44557.773
55,epoch,28,1250,1,44696.945
57,epoch,29,1250,1,44649.96
59,epoch,30,1250,1,44637.92
61,epoch,31,1250,1,44529.52
63,epoch,32,1250,1,44323.17
65,epoch,33,1250,1,44106.54
67,epoch,34,1250,1,43877.98
69,epoch,35,1250,1,43588.863
71,epoch,36,1250,1,43377.88
73,epoch,37,1250,1,43247.977
75,epoch,38,1250,1,43110.75
77,epoch,39,1250,1,43055.344
79,epoch,40,1250,1,43112.367
81,epoch,41,1250,1,43178.484
83,epoch,42,1250,1,43234.02
85,epoch,43,1250,1,43263.246
87,epoch,44,1250,1,43207.81
89,epoch,45,1250,1,43149.484
91,epoch,46,1250,1,43084.08
93,epoch,47,1250,1,42975.85
95,epoch,48,1250,1,42884.656
97,epoch,49,1250,1,42774.79
99,epoch,50,1250,1,42671.67
101,epoch,51,1250,1,42589.145
103,epoch,52,1250,1,42492.562
105,epoch,53,1250,1,42433.953
107,epoch,54,1250,1,42380.754
109,epoch,55,1250,1,42349.1
111,epoch,56,1250,1,42308.055
113,epoch,57,1250,1,42247.105
115,epoch,58,1250,1,42182.445
117,epoch,59,1250,1,42099.156
119,epoch,60,1250,1,42021.2
121,epoch,61,1250,1,41928.312
123,epoch,62,1250,1,41842.055
125,epoch,63,1250,1,41755.145
127,epoch,64,1250,1,41671.992
129,epoch,65,1250,1,41592.0
131,epoch,66,1250,1,41512.14
133,epoch,67,1250,1,41443.74
135,epoch,68,1250,1,41375.902
137,epoch,69,1250,1,41311.457
139,epoch,70,1250,1,41243.434
141,epoch,71,1250,1,41172.01
143,epoch,72,1250,1,41101.402
145,epoch,73,1250,1,41027.67
147,epoch,74,1250,1,40955.418
149,epoch,75,1250,1,40884.37
151,epoch,76,1250,1,40814.918
153,epoch,77,1250,1,40748.195
155,epoch,78,1250,1,40681.164
