Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.79,0.75,0.43,0.09
verw,0.89,0.77,0.46,0.01
sparkont,1.0,0.99,0.98,0.72
beszeit,0.95,0.93,0.79,0.18
rate,0.92,0.92,0.75,0.33
famges,0.99,0.99,0.97,0.65
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.93,0.92,0.77,0.31
verm,1.0,1.0,0.99,0.86
weitkred,0.45,0.49,0.22,0.03
wohn,1.0,1.0,0.99,0.83
bishkred,0.64,0.57,0.31,0.01
beruf,0.66,0.65,0.33,0.02
pers,0.46,0.57,0.3,0.15
telef,0.97,0.98,0.94,0.69
gastarb,0.98,0.99,0.97,0.78
kredit,0.84,0.88,0.72,0.43
