Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.85,0.34
moral,0.79,0.75,0.42,0.08
verw,0.9,0.78,0.47,0.0
sparkont,0.84,0.83,0.51,0.15
beszeit,0.95,0.93,0.79,0.18
rate,0.92,0.92,0.73,0.34
famges,0.85,0.84,0.59,0.18
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.93,0.92,0.76,0.31
verm,0.99,0.99,0.96,0.67
weitkred,0.49,0.53,0.24,0.04
wohn,0.87,0.89,0.7,0.31
bishkred,0.64,0.57,0.31,0.01
beruf,0.7,0.69,0.37,0.03
pers,0.51,0.61,0.35,0.18
telef,0.94,0.96,0.9,0.62
gastarb,0.52,0.62,0.35,0.18
kredit,0.85,0.89,0.73,0.44
