28, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
50, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,54, United-States, >50K
21, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,5178,0,50, United-States, >50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,7687,0,70, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Germany, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
30, Private, Bachelors, Divorced, Transport-moving, Own-child, White, Female,7298,0,50, United-States, <=50K
48, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Philippines, >50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,1902,45, United-States, >50K
23, Private, Assoc-voc, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,4878,0,60, United-States, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,1902,40, Poland, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,4465,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,55, Guatemala, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Guatemala, >50K
19, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,45, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1902,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
32, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
19, Private, Doctorate, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
52, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
36, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
24, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,7687,0,45, United-States, >50K
67, Local-gov, Bachelors, Widowed, Other-service, Husband, White, Female,0,0,35, United-States, <=50K
30, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Black, Male,5027,0,45, United-States, >50K
22, Private, Assoc-voc, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,4326,0,40, United-States, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,50, Vietnam, <=50K
18, Private, 12th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,30, United-States, <=50K
45, Self-emp-inc, Assoc-voc, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, United-States, <=50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
24, Private, 10th, Never-married, Tech-support, Not-in-family, White, Female,0,0,45, United-States, <=50K
49, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,45, United-States, >50K
40, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
45, Private, 10th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
54, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,35, Yugoslavia, >50K
45, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,1902,40, United-States, >50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
42, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,15024,0,40, United-States, <=50K
36, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,12, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,30, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,4015,0,40, United-States, >50K
33, Private, 11th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Poland, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, >50K
20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, >50K
41, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,45, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,35, Philippines, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,45, Mexico, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,48, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
59, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
33, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,40, Japan, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,36, United-States, <=50K
24, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
48, Local-gov, Assoc-voc, Divorced, Farming-fishing, Not-in-family, White, Male,0,1977,40, Philippines, >50K
40, Federal-gov, 5th-6th, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
37, Private, Masters, Divorced, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,54, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
40, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,7389,0,45, United-States, <=50K
35, Private, Bachelors, Divorced, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, Some-college, Divorced, Farming-fishing, Husband, White, Female,15024,0,20, United-States, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Prof-school, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,1902,54, United-States, <=50K
26, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, Masters, Married-spouse-absent, Sales, Not-in-family, Other, Male,0,0,45, Mexico, <=50K
51, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
