Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.96,0.89,0.39
moral,0.81,0.78,0.46,0.08
verw,0.9,0.8,0.49,0.03
sparkont,0.88,0.88,0.6,0.24
beszeit,0.94,0.93,0.77,0.22
rate,0.91,0.91,0.72,0.3
famges,0.9,0.89,0.68,0.25
buerge,0.34,0.42,0.15,0.05
wohnzeit,0.94,0.93,0.79,0.36
verm,0.99,0.99,0.97,0.65
weitkred,0.5,0.55,0.25,0.06
wohn,0.87,0.89,0.69,0.32
bishkred,0.65,0.58,0.32,0.03
beruf,0.74,0.72,0.41,0.03
pers,0.62,0.7,0.44,0.23
telef,0.96,0.97,0.92,0.65
gastarb,0.72,0.78,0.56,0.31
kredit,0.86,0.89,0.75,0.45
