Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.79,0.76,0.44,0.09
verw,0.89,0.77,0.47,0.0
sparkont,1.0,0.99,0.98,0.7
beszeit,0.96,0.95,0.83,0.27
rate,0.91,0.91,0.71,0.3
famges,0.99,0.99,0.97,0.66
buerge,0.28,0.37,0.12,0.05
wohnzeit,0.94,0.93,0.78,0.33
verm,1.0,1.0,0.99,0.8
weitkred,0.5,0.56,0.25,0.06
wohn,1.0,1.0,0.99,0.81
bishkred,0.66,0.59,0.33,0.03
beruf,0.72,0.7,0.39,0.02
pers,0.57,0.66,0.4,0.21
telef,0.97,0.98,0.95,0.71
gastarb,0.98,0.99,0.97,0.78
kredit,0.85,0.89,0.74,0.44
