Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.77,0.73,0.4,0.09
verw,0.89,0.77,0.45,0.01
sparkont,1.0,1.0,1.0,0.85
beszeit,0.95,0.94,0.8,0.2
rate,0.88,0.88,0.64,0.25
famges,1.0,1.0,0.98,0.74
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.92,0.91,0.74,0.31
verm,1.0,1.0,0.99,0.81
weitkred,0.47,0.51,0.23,0.03
wohn,1.0,1.0,0.99,0.83
bishkred,0.64,0.56,0.31,0.01
beruf,0.73,0.7,0.4,0.02
pers,0.52,0.62,0.35,0.18
telef,0.94,0.95,0.88,0.6
gastarb,0.98,0.99,0.97,0.78
kredit,0.83,0.88,0.72,0.42
