Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.73,0.16
moral,0.77,0.73,0.4,0.09
verw,0.89,0.78,0.45,0.01
sparkont,0.68,0.68,0.3,0.07
beszeit,0.95,0.94,0.8,0.21
rate,0.9,0.9,0.69,0.26
famges,0.77,0.74,0.46,0.07
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.93,0.79,0.36
verm,0.96,0.96,0.87,0.4
weitkred,0.51,0.56,0.25,0.06
wohn,0.64,0.69,0.37,0.13
bishkred,0.66,0.58,0.33,0.01
beruf,0.73,0.7,0.4,0.02
pers,0.52,0.62,0.35,0.18
telef,0.94,0.96,0.9,0.62
gastarb,0.18,0.27,0.1,0.05
kredit,0.88,0.91,0.79,0.49
