Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.81,0.78,0.46,0.09
verw,0.91,0.83,0.54,0.03
sparkont,0.99,0.99,0.97,0.69
beszeit,0.95,0.94,0.81,0.24
rate,0.92,0.92,0.75,0.32
famges,0.99,0.99,0.97,0.65
buerge,0.28,0.36,0.11,0.04
wohnzeit,0.93,0.93,0.77,0.32
verm,1.0,1.0,0.99,0.85
weitkred,0.55,0.6,0.29,0.08
wohn,1.0,1.0,0.99,0.78
bishkred,0.67,0.59,0.34,0.03
beruf,0.74,0.74,0.42,0.06
pers,0.6,0.69,0.43,0.22
telef,0.98,0.98,0.96,0.74
gastarb,0.99,0.99,0.98,0.8
kredit,0.84,0.88,0.72,0.42
