48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
22, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, 10th, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,50, United-States, <=50K
66, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,24, Vietnam, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,38, United-States, <=50K
63, Federal-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,38, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
38, Private, Bachelors, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,60, United-States, >50K
59, Self-emp-inc, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,16, Mexico, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
26, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,2649,0,40, Germany, <=50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,5256,0,50, Germany, >50K
51, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, Black, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,16, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,2447,45, United-States, >50K
48, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
62, Federal-gov, 1st-4th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,16, United-States, <=50K
36, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
62, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Wife, White, Male,25723,0,75, United-States, >50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
25, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
63, Self-emp-not-inc, Assoc-acdm, Widowed, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,1485,40, United-States, <=50K
60, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,42, United-States, <=50K
