Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.8,0.77,0.45,0.07
verw,0.89,0.79,0.48,0.0
sparkont,1.0,1.0,0.99,0.77
beszeit,0.96,0.94,0.82,0.23
rate,0.91,0.91,0.73,0.25
famges,1.0,1.0,0.98,0.74
buerge,0.32,0.39,0.14,0.04
wohnzeit,0.95,0.95,0.83,0.39
verm,1.0,1.0,0.99,0.84
weitkred,0.51,0.55,0.25,0.04
wohn,1.0,1.0,0.99,0.87
bishkred,0.67,0.6,0.34,0.03
beruf,0.71,0.68,0.38,0.02
pers,0.59,0.68,0.42,0.22
telef,0.96,0.97,0.93,0.68
gastarb,1.0,1.0,0.99,0.87
kredit,0.87,0.9,0.77,0.47
