Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.96,0.87,0.39
moral,0.8,0.76,0.44,0.08
verw,0.9,0.81,0.53,0.03
sparkont,0.92,0.92,0.7,0.25
beszeit,0.93,0.91,0.72,0.15
rate,0.92,0.92,0.75,0.3
famges,0.92,0.91,0.74,0.31
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.93,0.93,0.78,0.3
verm,0.99,0.99,0.97,0.66
weitkred,0.49,0.54,0.24,0.05
wohn,0.88,0.89,0.7,0.31
bishkred,0.67,0.6,0.34,0.02
beruf,0.72,0.69,0.39,0.02
pers,0.6,0.69,0.43,0.23
telef,0.97,0.98,0.94,0.71
gastarb,0.72,0.79,0.56,0.31
kredit,0.85,0.89,0.74,0.44
