26, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Ireland, >50K
53, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, White, Female,0,1887,36, England, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4990,0,40, United-States, <=50K
34, Private, 12th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
27, Private, Assoc-acdm, Divorced, Adm-clerical, Wife, White, Female,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, Dominican-Republic, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
51, Self-emp-inc, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
26, Private, Bachelors, Never-married, Tech-support, Husband, White, Male,0,0,40, Nicaragua, >50K
70, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,27734,0,35, Canada, >50K
24, Private, HS-grad, Never-married, Sales, Other-relative, White, Male,0,0,40, Dominican-Republic, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Poland, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Columbia, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,4885,0,50, Japan, >50K
30, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,99999,0,50, Yugoslavia, >50K
27, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,54, Ecuador, <=50K
41, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,70, Japan, >50K
34, Private, HS-grad, Divorced, Other-service, Own-child, Black, Male,0,0,40, Trinadad&Tobago, <=50K
62, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
40, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, Germany, >50K
25, Private, HS-grad, Separated, Adm-clerical, Own-child, Black, Female,0,0,40, Canada, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, Canada, >50K
46, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, >50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,50, Thailand, <=50K
36, Local-gov, Some-college, Never-married, Sales, Wife, White, Female,27757,0,25, South, >50K
47, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, Guatemala, <=50K
76, Private, 7th-8th, Widowed, Other-service, Not-in-family, White, Female,0,0,20, Guatemala, <=50K
60, State-gov, HS-grad, Widowed, Other-service, Unmarried, Black, Male,0,0,40, Ecuador, <=50K
47, Private, Bachelors, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, Dominican-Republic, <=50K
25, Self-emp-inc, Masters, Never-married, Sales, Own-child, White, Male,0,0,40, Nicaragua, <=50K
32, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,1887,60, Laos, <=50K
29, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,35, Japan, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,55, France, <=50K
25, Private, 7th-8th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, Portugal, >50K
26, Local-gov, 12th, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,47, England, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, Hungary, >50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
20, Private, 11th, Separated, Other-service, Unmarried, White, Male,0,0,35, Japan, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Honduras, <=50K
29, Self-emp-not-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Yugoslavia, <=50K
22, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Ecuador, >50K
43, Self-emp-not-inc, 9th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, India, <=50K
26, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
18, Private, 10th, Never-married, Tech-support, Own-child, White, Male,0,0,40, Japan, <=50K
46, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Jamaica, >50K
61, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,36, South, <=50K
