50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,65, United-States, >50K
35, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
24, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,29, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, United-States, >50K
69, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,7906,0,50, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
48, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,1977,40, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 12th, Never-married, Other-service, Husband, White, Female,0,0,29, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1671,50, United-States, >50K
64, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Germany, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
64, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, South, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,44, United-States, >50K
25, Private, 9th, Never-married, Prof-specialty, Own-child, White, Female,0,0,29, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,15, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
53, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
43, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, >50K
41, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,7687,0,10, United-States, <=50K
24, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Honduras, <=50K
55, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,2850,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
36, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,48, United-States, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
20, Local-gov, 1st-4th, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,5178,0,40, United-States, >50K
58, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Married-civ-spouse, Other-service, Own-child, White, Male,0,1846,25, United-States, >50K
52, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,50, United-States, <=50K
28, Private, Assoc-voc, Separated, Other-service, Wife, White, Male,0,0,50, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, 9th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,29, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
63, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
34, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
57, Self-emp-not-inc, 12th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
43, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, >50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, United-States, >50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
43, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
25, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
59, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
35, Private, 5th-6th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Divorced, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Male,15024,0,36, United-States, <=50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, >50K
45, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, Japan, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Other, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,45, United-States, >50K
40, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,15, United-States, <=50K
36, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Portugal, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, Portugal, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,60, United-States, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,57, United-States, >50K
49, Local-gov, HS-grad, Divorced, Sales, Other-relative, White, Male,0,0,40, United-States, >50K
43, State-gov, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,20, Mexico, <=50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,1591,40, United-States, >50K
46, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
69, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,3120,0,40, United-States, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Doctorate, Never-married, Tech-support, Husband, White, Female,3103,0,50, United-States, >50K
61, Local-gov, 7th-8th, Divorced, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, >50K
47, Federal-gov, 7th-8th, Divorced, Protective-serv, Not-in-family, White, Male,0,0,38, United-States, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,20, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,2775,0,40, United-States, >50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,38, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,29, United-States, <=50K
40, Without-pay, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,15024,0,54, United-States, >50K
48, Private, HS-grad, Separated, Sales, Husband, White, Male,15024,0,40, United-States, <=50K
59, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,1977,50, United-States, >50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
47, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
80, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Male,0,0,25, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,15, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,50, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Local-gov, 9th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, United-States, <=50K
57, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,2329,0,40, United-States, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
80, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Female,0,0,12, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
40, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Husband, Black, Female,0,0,49, United-States, >50K
45, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,3771,0,40, United-States, >50K
58, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Federal-gov, Assoc-acdm, Married-AF-spouse, Adm-clerical, Husband, Black, Male,0,0,39, United-States, <=50K
67, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,24, United-States, <=50K
61, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
37, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,48, United-States, >50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
49, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Other, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Sales, Own-child, White, Male,5303,0,40, United-States, >50K
28, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
31, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1730,50, United-States, <=50K
28, Private, 9th, Never-married, Farming-fishing, Other-relative, White, Female,0,0,80, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
54, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
