Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.79,0.76,0.43,0.08
verw,0.9,0.78,0.49,0.01
sparkont,1.0,1.0,0.99,0.79
beszeit,0.96,0.95,0.83,0.25
rate,0.91,0.91,0.72,0.3
famges,1.0,1.0,0.98,0.73
buerge,0.3,0.38,0.12,0.04
wohnzeit,0.94,0.94,0.8,0.38
verm,1.0,1.0,0.99,0.83
weitkred,0.52,0.57,0.27,0.06
wohn,1.0,1.0,0.99,0.84
bishkred,0.68,0.6,0.34,0.02
beruf,0.73,0.7,0.4,0.03
pers,0.61,0.69,0.43,0.23
telef,0.97,0.98,0.94,0.71
gastarb,1.0,1.0,0.99,0.88
kredit,0.82,0.87,0.7,0.41
