Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.8,0.77,0.45,0.1
verw,0.91,0.8,0.52,0.02
sparkont,0.99,0.99,0.97,0.66
beszeit,0.96,0.95,0.84,0.26
rate,0.92,0.92,0.73,0.29
famges,0.99,0.99,0.97,0.67
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.95,0.94,0.82,0.4
verm,1.0,1.0,0.99,0.81
weitkred,0.53,0.59,0.27,0.08
wohn,0.99,1.0,0.98,0.78
bishkred,0.67,0.61,0.34,0.03
beruf,0.72,0.7,0.39,0.02
pers,0.64,0.72,0.47,0.25
telef,0.97,0.98,0.94,0.69
gastarb,0.98,0.99,0.97,0.78
kredit,0.86,0.89,0.75,0.45
