Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.14
moral,0.77,0.73,0.4,0.07
verw,0.9,0.8,0.48,0.04
sparkont,0.72,0.72,0.34,0.07
beszeit,0.94,0.92,0.77,0.18
rate,0.91,0.91,0.71,0.28
famges,0.78,0.75,0.47,0.08
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.93,0.77,0.32
verm,0.98,0.98,0.92,0.48
weitkred,0.46,0.52,0.22,0.06
wohn,0.67,0.72,0.4,0.15
bishkred,0.65,0.57,0.32,0.01
beruf,0.71,0.7,0.38,0.03
pers,0.52,0.62,0.35,0.18
telef,0.96,0.97,0.93,0.68
gastarb,0.15,0.24,0.08,0.04
kredit,0.82,0.86,0.69,0.4
